,veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat
175,51400,0.616016427,0,0,0,STNWG,1,M,B,6
176,6700,0.616016427,0,0,0,SEDAN,4,F,C,4
177,13900,0.38329911,0,0,0,SEDAN,3,M,C,2
178,46500,0.38329911,0,0,0,STNWG,1,F,E,3
179,14300,0.38329911,0,0,0,SEDAN,3,F,D,2
180,4300,0.38329911,0,0,0,SEDAN,4,F,C,2
181,10200,0.618754278,0,0,0,SEDAN,3,F,B,5
182,15100,0.17522245,0,0,0,SEDAN,3,F,B,2
183,26490,0.257357974,1,1,9424.349976,TRUCK,1,M,A,1
184,13100,0.616016427,0,0,0,STNWG,4,M,D,3
185,24800,0.424366872,0,0,0,STNWG,3,M,C,1
186,17400,0.257357974,0,0,0,SEDAN,2,F,A,2
187,16200,0.093086927,0,0,0,STNWG,4,F,F,3
188,54300,0.616016427,0,0,0,STNWG,1,F,C,3
189,6500,0.616016427,0,0,0,SEDAN,4,M,A,4
190,3500,0.616016427,0,0,0,SEDAN,4,M,E,5
191,37300,0.616016427,0,0,0,STNWG,2,M,A,5
192,16100,0.344969199,0,0,0,SEDAN,2,F,C,4
193,8200,0.616016427,0,0,0,HBACK,4,F,A,6
194,13300,0.616016427,0,0,0,TRUCK,4,M,F,1
195,7800,0.342231348,0,0,0,HBACK,3,F,C,4
196,39800,0.616016427,0,0,0,STNWG,2,F,C,2
197,9500,0.616016427,0,0,0,HDTOP,4,M,A,6
198,11400,0.38329911,0,0,0,SEDAN,4,F,B,3
199,5300,0.616016427,0,0,0,SEDAN,4,F,D,5
200,15000,0.616016427,0,0,0,STNWG,4,M,A,3
201,17600,0.616016427,0,0,0,STNWG,2,M,C,3
202,10000,0.314852841,0,0,0,HBACK,2,M,B,4
203,12200,0.616016427,0,0,0,HBACK,3,M,A,4
204,28200,0.38329911,0,0,0,STNWG,3,F,C,3
205,21300,0.900752909,0,0,0,HDTOP,2,F,A,2
206,10100,0.284736482,0,0,0,STNWG,4,M,B,6
207,18400,0.616016427,0,0,0,SEDAN,2,F,A,6
208,31100,0.38329911,0,0,0,TRUCK,3,M,C,3
209,3900,0.616016427,0,0,0,SEDAN,4,M,A,4
210,10100,0.093086927,0,0,0,HBACK,3,F,E,1
211,25800,0.616016427,0,0,0,STNWG,3,M,C,5
212,5100,0.616016427,0,0,0,SEDAN,4,F,A,4
213,10200,0.616016427,0,0,0,SEDAN,3,F,C,6
214,16300,0.646132786,0,0,0,HBACK,2,F,C,5
215,8400,0.616016427,0,0,0,HBACK,3,F,C,4
216,23400,0.616016427,0,0,0,HBACK,3,M,C,5
217,18600,0.616016427,1,1,238.6400003,SEDAN,2,F,C,3
218,72000,0.616016427,0,0,0,SEDAN,3,F,D,6
219,4600,0.616016427,0,0,0,STNWG,4,F,A,4
220,16600,0.90349076,0,0,0,STNWG,3,F,A,3
221,37100,0.76659822,0,0,0,STNWG,1,F,C,3
222,16200,0.616016427,0,0,0,STNWG,4,F,F,3
223,5800,0.616016427,0,0,0,COUPE,4,F,B,4
224,30600,0.616016427,0,0,0,STNWG,3,F,F,4
225,11700,0.769336071,0,0,0,SEDAN,3,F,D,1
226,9800,0.616016427,0,0,0,SEDAN,3,F,B,3
227,10200,0.616016427,0,0,0,HBACK,4,F,B,2
228,14000,0.616016427,0,0,0,SEDAN,3,F,A,4
229,29700,0.098562628,0,0,0,STNWG,1,M,F,4
230,17800,0.618754278,0,0,0,SEDAN,2,F,C,2
231,4100,0.344969199,0,0,0,HBACK,4,F,B,3
232,27400,0.941820671,0,0,0,STNWG,2,M,C,3
233,52990,0.38329911,0,0,0,STNWG,1,F,D,3
234,14200,0.254620123,0,0,0,HBACK,1,M,C,3
235,20100,0.616016427,0,0,0,HDTOP,3,M,E,5
236,15400,0.616016427,1,1,200,STNWG,2,F,B,3
237,40000,0.616016427,0,0,0,STNWG,2,F,A,4
238,13000,0.646132786,0,0,0,HBACK,2,M,C,4
239,13400,0.1724846,0,0,0,HBACK,2,F,B,3
240,16700,0.38329911,0,0,0,STNWG,2,F,E,5
241,18800,0.750171116,1,1,369.1799998,PANVN,3,M,D,3
242,10300,0.344969199,0,0,0,HBACK,3,F,D,4
243,14300,0.229979466,0,0,0,TRUCK,4,M,D,1
244,8900,0.684462697,1,1,353.77,SEDAN,3,F,D,3
245,11300,0.093086927,0,0,0,STNWG,4,F,B,2
246,19000,0.191649555,0,0,0,PANVN,3,M,C,5
247,21100,0.87063655,0,0,0,HBACK,2,F,C,3
248,18200,0.750171116,0,0,0,UTE,1,M,D,4
250,30300,0.752908967,0,0,0,STNWG,1,M,D,3
251,37000,0.41615332,0,0,0,STNWG,3,M,C,1
252,22200,0.391512663,0,0,0,HDTOP,3,F,C,2
253,21500,0.646132786,0,0,0,SEDAN,3,F,A,4
254,5800,0.646132786,0,0,0,HBACK,4,M,A,3
255,15300,0.62696783,0,0,0,STNWG,4,M,A,4
256,15500,0.646132786,0,0,0,HBACK,2,F,C,2
257,11200,0.646132786,0,0,0,STNWG,4,M,A,3
258,4800,0.925393566,0,0,0,HBACK,4,F,A,6
259,16700,0.093086927,0,0,0,TRUCK,1,M,B,2
260,10200,0.643394935,0,0,0,HBACK,3,M,C,4
261,16400,0.249144422,0,0,0,STNWG,4,M,C,3
262,20100,0.55578371,0,0,0,TRUCK,3,M,F,5
263,8500,0.925393566,0,0,0,HBACK,3,F,B,4
264,14200,0.646132786,0,0,0,HBACK,1,F,C,6
265,27500,0.249144422,0,0,0,STNWG,3,F,B,3
266,16600,0.128678987,0,0,0,SEDAN,2,M,F,3
267,16600,0.229979466,0,0,0,SEDAN,3,M,C,5
268,11800,0.219028063,0,0,0,STNWG,4,F,B,3
269,9500,0.717316906,0,0,0,SEDAN,4,F,C,6
270,17700,0.643394935,0,0,0,SEDAN,2,M,C,4
271,13000,0.720054757,0,0,0,HBACK,1,F,B,3
272,6500,0.785763176,0,0,0,MIBUS,4,F,B,5
273,7300,0.906228611,0,0,0,SEDAN,4,M,C,6
274,11200,0.503764545,0,0,0,HBACK,2,F,B,1
275,9800,0.229979466,0,0,0,HBACK,3,F,E,6
276,13990,0.769336071,0,0,0,HBACK,1,F,B,5
277,13100,0.199863108,0,0,0,UTE,4,M,C,5
278,17600,0.229979466,0,0,0,SEDAN,1,F,E,1
279,14200,0.900752909,0,0,0,HBACK,1,F,C,3
280,4100,0.229979466,0,0,0,SEDAN,4,F,E,2
281,40000,0.229979466,0,0,0,STNWG,2,M,C,3
282,11900,0.093086927,0,0,0,UTE,4,M,B,4
283,4700,0.750171116,0,0,0,HBACK,4,F,C,1
284,20100,0.027378508,0,0,0,UTE,3,F,F,3
285,15500,0.906228611,0,0,0,HDTOP,4,M,D,1
286,14500,0.199863108,0,0,0,SEDAN,2,F,D,2
287,12000,0.093086927,0,0,0,HBACK,2,M,C,1
288,10300,0.229979466,0,0,0,STNWG,3,F,A,1
289,18900,0.851471595,0,0,0,STNWG,2,F,A,6
290,20000,0.301163587,0,0,0,SEDAN,1,M,B,4
291,17300,0.249144422,0,0,0,SEDAN,2,M,F,3
292,10700,0.229979466,0,0,0,SEDAN,3,F,D,2
293,27200,0.249144422,0,0,0,SEDAN,1,F,A,3
294,32200,0.851471595,0,0,0,UTE,1,M,C,3
295,4500,0.235455168,0,0,0,COUPE,4,F,E,4
296,4800,0.052019165,0,0,0,SEDAN,4,F,C,6
297,12200,0.605065024,0,0,0,HBACK,3,M,C,4
298,31900,0.999315537,0,0,0,HBACK,2,F,A,4
299,27900,0.377823409,0,0,0,SEDAN,1,F,C,2
300,9000,0.851471595,0,0,0,SEDAN,4,M,A,2
301,61000,0.249144422,0,0,0,SEDAN,1,M,C,5
302,44600,0.191649555,1,1,989.9199982,COUPE,2,M,B,2
303,45600,0.648870637,0,0,0,MIBUS,2,M,C,3
304,14800,0.199863108,0,0,0,HBACK,1,F,C,5
305,23300,0.851471595,0,0,0,SEDAN,2,M,C,5
306,26700,0.249144422,0,0,0,STNWG,3,F,D,4
307,15900,0.027378508,0,0,0,SEDAN,2,F,A,3
308,43200,0.646132786,1,1,736.8499985,STNWG,2,M,A,5
309,10500,0.539356605,0,0,0,HBACK,2,M,C,3
310,10600,0.925393566,0,0,0,STNWG,3,M,E,4
311,60700,0.249144422,0,0,0,STNWG,1,M,E,3
312,55900,0.851471595,1,1,369.1499996,STNWG,1,M,C,3
313,14400,0.665297741,1,1,500,UTE,4,M,F,2
314,14100,0.073921971,0,0,0,HBACK,2,F,C,6
315,4700,0.199863108,0,0,0,SEDAN,4,M,A,3
316,18400,0.353182752,0,0,0,STNWG,4,F,B,4
317,28100,0.851471595,1,1,353.77,STNWG,1,M,C,3
318,25500,0.249144422,0,0,0,SEDAN,1,F,C,5
319,30100,0.848733744,0,0,0,STNWG,2,M,E,4
320,16000,0.249144422,0,0,0,HBACK,2,F,D,4
321,15900,0.772073922,0,0,0,PANVN,3,F,D,5
322,20100,0.646132786,0,0,0,HDTOP,3,F,D,2
323,14300,0.646132786,0,0,0,STNWG,4,F,D,6
324,7300,0.402464066,0,0,0,SEDAN,4,F,B,3
325,7900,0.235455168,0,0,0,SEDAN,4,F,C,4
326,14900,0.353182752,0,0,0,HBACK,2,F,C,4
327,6700,0.925393566,0,0,0,SEDAN,4,M,C,5
328,12300,0.772073922,0,0,0,HBACK,2,F,A,2
329,16700,0.027378508,0,0,0,SEDAN,2,F,E,6
330,12600,0.355920602,0,0,0,HBACK,3,F,C,1
331,37500,0.646132786,0,0,0,STNWG,2,F,E,3
332,3400,0.643394935,0,0,0,SEDAN,4,F,D,4
333,16100,0.353182752,0,0,0,HBACK,2,M,B,3
334,14100,0.999315537,0,0,0,SEDAN,2,F,A,2
335,29500,0.249144422,0,0,0,STNWG,1,F,D,6
336,15780,0.851471595,0,0,0,HBACK,1,M,A,4
337,11200,0.221765914,0,0,0,HBACK,2,F,B,3
338,13600,0.027378508,0,0,0,SEDAN,2,F,C,4
339,9200,0.249144422,0,0,0,HBACK,3,F,C,2
340,7300,0.851471595,0,0,0,HBACK,3,F,C,1
341,12200,0.999315537,0,0,0,HBACK,3,F,E,6
342,56500,0.10403833,0,0,0,STNWG,1,M,C,3
343,30000,0.613278576,1,1,6372.029999,STNWG,3,F,C,2
344,5400,0.227241615,0,0,0,HBACK,4,F,A,4
345,17600,0.199863108,0,0,0,HBACK,1,F,B,5
346,10700,0.331279945,0,0,0,STNWG,4,M,B,3
347,11400,0.145106092,0,0,0,UTE,4,M,A,2
348,2000,0.095824778,0,0,0,HBACK,4,M,A,3
349,15100,0.646132786,0,0,0,UTE,3,M,B,3
350,22900,0.353182752,1,1,500,STNWG,4,F,F,4
351,3900,0.925393566,1,1,1379.039997,SEDAN,4,F,C,6
352,17500,0.221765914,0,0,0,HBACK,2,F,B,2
353,13100,0.314852841,0,0,0,HBACK,2,F,A,1
354,4700,0.391512663,0,0,0,STNWG,4,F,D,3
355,10900,0.20807666,0,0,0,HBACK,3,F,C,3
356,13000,0.249144422,0,0,0,HBACK,2,F,C,5
357,12300,0.772073922,0,0,0,HBACK,2,M,C,1
358,19000,0.227241615,0,0,0,SEDAN,1,F,A,4
359,18700,0.851471595,0,0,0,HBACK,3,F,A,4
360,11700,0.125941136,0,0,0,STNWG,4,M,C,3
361,23700,0.643394935,0,0,0,MIBUS,3,M,C,3
362,16800,0.224503765,0,0,0,HBACK,3,F,C,4
363,18300,0.353182752,0,0,0,SEDAN,3,M,C,1
364,12900,0.925393566,1,1,200,SEDAN,3,M,D,3
365,3000,0.229979466,0,0,0,HBACK,4,M,B,4
366,15200,0.249144422,0,0,0,HBACK,3,F,A,3
367,23500,0.643394935,0,0,0,COUPE,2,F,C,3
368,3400,0.213552361,0,0,0,HBACK,4,F,B,1
369,9900,0.249144422,0,0,0,HBACK,2,F,E,5
370,18400,0.851471595,0,0,0,HBACK,2,F,A,4
371,12300,0.851471595,0,0,0,HBACK,3,F,B,4
372,20300,0.689938398,0,0,0,SEDAN,2,F,A,5
373,15100,0.227241615,0,0,0,HDTOP,4,M,C,2
374,7600,0.227241615,0,0,0,SEDAN,4,F,B,1
375,19000,0.224503765,0,0,0,STNWG,4,F,C,4
376,27500,0.17522245,0,0,0,STNWG,1,F,C,3
377,9000,0.224503765,0,0,0,SEDAN,3,F,A,6
378,17400,0.720054757,0,0,0,HBACK,2,F,A,6
379,23900,0.925393566,0,0,0,STNWG,3,M,E,6
380,21400,0.646132786,0,0,0,UTE,3,M,E,4
381,10300,0.646132786,0,0,0,HBACK,2,F,C,2
382,12800,0.605065024,0,0,0,STNWG,4,M,F,4
383,6700,0.227241615,0,0,0,COUPE,4,F,B,3
384,9000,0.720054757,0,0,0,HBACK,3,F,B,4
385,10700,0.249144422,0,0,0,SEDAN,3,M,C,4
386,22900,0.249144422,0,0,0,SEDAN,1,M,C,3
387,11300,0.377823409,1,1,937.5599957,SEDAN,4,F,B,1
388,13700,0.851471595,0,0,0,HBACK,2,M,A,3
389,6200,0.851471595,0,0,0,COUPE,4,M,A,4
390,12600,0.046543463,0,0,0,HBACK,2,F,F,2
391,19800,0.041067762,0,0,0,STNWG,4,F,C,4
393,20400,0.249144422,0,0,0,HBACK,1,M,B,1
394,21000,0.249144422,0,0,0,COUPE,3,F,A,3
395,18200,0.224503765,0,0,0,HBACK,1,F,A,4
396,3100,0.783025325,0,0,0,HBACK,4,F,E,6
397,22900,0.249144422,0,0,0,SEDAN,1,M,A,2
398,13800,0.249144422,0,0,0,HBACK,1,F,B,1
399,18500,0.27926078,0,0,0,SEDAN,2,F,C,3
400,15000,0.027378508,0,0,0,HBACK,2,F,C,3
401,27800,0.073921971,0,0,0,SEDAN,2,M,C,5
402,24900,0.525667351,0,0,0,SEDAN,2,M,C,3
403,13000,0.13963039,0,0,0,HDTOP,4,M,C,3
404,52360,0.224503765,0,0,0,STNWG,1,M,C,3
405,9900,0.027378508,0,0,0,SEDAN,3,F,B,5
406,9300,0.851471595,0,0,0,SEDAN,4,F,B,4
407,27600,0.720054757,0,0,0,STNWG,1,F,D,3
408,16200,0.925393566,0,0,0,SEDAN,3,M,A,5
409,32200,0.309377139,0,0,0,HDTOP,2,F,F,2
410,24100,0.750171116,1,1,12879.65997,HBACK,1,F,B,3
411,11100,0.224503765,0,0,0,UTE,4,M,C,2
412,6600,0.851471595,0,0,0,HBACK,4,F,A,2
413,36900,0.750171116,0,0,0,TRUCK,2,M,C,1
414,9300,0.254620123,0,0,0,TRUCK,4,F,B,5
415,16700,0.301163587,0,0,0,HBACK,2,F,A,6
416,18600,0.221765914,0,0,0,SEDAN,1,M,C,1
417,34700,0.246406571,1,1,937.2799988,SEDAN,1,M,B,3
418,15300,0.27926078,0,0,0,UTE,3,M,C,2
419,13900,0.829568789,0,0,0,HBACK,1,F,A,4
420,12600,0.309377139,0,0,0,HBACK,2,M,B,4
421,28200,0.829568789,0,0,0,STNWG,1,M,A,5
422,17900,0.314852841,0,0,0,SEDAN,2,M,D,4
423,12000,0.224503765,0,0,0,HBACK,1,F,C,3
424,31400,0.851471595,1,2,19142.13268,TRUCK,3,M,C,1
425,6800,0.309377139,0,0,0,HBACK,3,F,D,3
426,11700,0.646132786,0,0,0,HBACK,2,M,C,3
427,17100,0.358658453,0,0,0,SEDAN,2,F,A,3
428,11200,0.309377139,0,0,0,HBACK,3,F,C,2
429,3900,0.224503765,0,0,0,HBACK,4,M,B,3
430,16400,0.689938398,0,0,0,STNWG,3,F,C,4
431,13490,0.547570157,0,0,0,HBACK,1,F,C,3
432,18100,0.720054757,0,0,0,HBACK,4,M,C,2
433,5500,0.101300479,0,0,0,HBACK,4,F,A,1
434,10000,0.224503765,0,0,0,HBACK,3,F,B,2
435,11800,0.073921971,0,0,0,SEDAN,3,M,B,6
436,20000,0.1724846,0,0,0,SEDAN,2,F,C,4
437,14280,0.525667351,0,0,0,HBACK,1,F,C,4
438,28700,0.224503765,0,0,0,STNWG,2,F,A,3
439,11600,0.862422998,0,0,0,SEDAN,3,M,A,6
440,9200,0.027378508,0,0,0,SEDAN,3,M,C,4
441,13800,0.90349076,0,0,0,HBACK,2,F,C,3
442,16400,0.309377139,0,0,0,STNWG,4,M,A,2
443,23000,0.698151951,0,0,0,STNWG,3,M,B,5
444,17400,0.216290212,0,0,0,SEDAN,2,F,C,4
445,13700,0.845995893,0,0,0,HBACK,1,F,C,1
446,13000,0.90349076,0,0,0,HDTOP,4,F,B,1
447,28500,0.525667351,0,0,0,UTE,2,M,A,1
448,16100,0.27926078,0,0,0,HBACK,2,F,F,1
449,22340,0.851471595,0,0,0,SEDAN,1,F,D,6
450,13900,0.911704312,0,0,0,HBACK,3,M,B,5
451,4300,0.093086927,0,0,0,HBACK,4,F,A,6
452,12400,0.177960301,0,0,0,SEDAN,3,F,D,5
453,24700,0.372347707,0,0,0,SEDAN,1,F,A,5
454,16000,0.908966461,0,0,0,SEDAN,2,F,B,5
455,21500,0.908966461,0,0,0,UTE,3,M,D,6
456,19800,0.911704312,1,1,2659.369995,STNWG,4,M,C,6
